GEOID10,INTPTLAT10,INTPTLON10,SECTION
42101017000,+40.0078614,-075.1834204,NorthWest
42101017100,+40.0027449,-075.1763248,NorthWest
42101017300,+39.9985707,-075.1609337,NorthWest
42101017400,+39.9962138,-075.1503586,FrankfordKennsington
42101017500,+39.9979150,-075.1429842,FrankfordKennsington
42101017800,+39.9913734,-075.1173063,FrankfordKennsington
42101017900,+39.9870535,-075.1139340,FrankfordKennsington
42101018300,+39.9956035,-075.0746225,NorthEast
42101018400,+39.9996644,-075.0637363,NorthEast
42101018800,+39.9973659,-075.1058296,FrankfordKennsington
42101021700,+40.0450277,-075.2239451,NorthWest
42101021800,+40.0574759,-075.2324353,NorthWest
42101021900,+40.0505829,-075.2470033,NorthWest
42101022000,+40.0562177,-075.2520092,NorthWest
42101980100,+40.0509585,-075.2149160,NorthWest
42101023100,+40.0666637,-075.2038514,NorthWest
42101023500,+40.0394435,-075.2007925,NorthWest
42101023600,+40.0427145,-075.1946940,NorthWest
42101023700,+40.0487394,-075.1886069,NorthWest
42101023800,+40.0389370,-075.1827038,NorthWest
42101023900,+40.0339713,-075.1875115,NorthWest
42101024000,+40.0280807,-075.1794623,NorthWest
42101025700,+40.0724586,-075.1962708,NorthWest
