GEOID,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD06,HD01_VD07,HD01_VD10,HD01_VD11,HD01_VD14,HD01_VD15,HD01_VD18,HD01_VD19,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD28,HD01_VD29,HD01_VD32,HD01_VD33,HD01_VD36,HD01_VD37,HD01_VD40,HD01_VD41,HD01_VD44,HD01_VD45,HD01_VD46
42101019200,2393,880,248,201,169,64,74,0,228,11,135,0,26,1513,655,655,419,386,128,14,154,0,25,0,132,0
42101019501,1678,464,271,174,55,6,58,0,61,0,19,0,0,1214,897,806,102,90,61,38,83,0,44,9,4,23
42101019502,1096,408,228,206,42,16,118,0,11,0,9,0,0,688,329,329,127,64,85,20,34,0,0,0,0,113
42101019700,2184,1046,429,294,359,149,95,0,74,0,45,0,44,1138,631,631,187,187,101,19,76,0,33,0,39,71
42101019800,2101,991,353,211,374,96,88,0,92,11,56,0,28,1110,466,466,266,191,112,25,44,0,69,0,28,125
42101019900,1413,749,326,156,101,45,150,26,79,0,87,0,6,664,300,300,193,180,5,0,25,0,41,0,0,100
42101020000,495,156,46,9,31,26,2,0,32,32,33,0,12,339,109,109,111,40,35,17,32,0,13,0,36,3
42101020101,1510,586,168,141,126,62,113,47,57,11,101,0,21,924,485,415,133,88,141,0,85,0,14,0,45,21
42101020102,1263,571,135,102,231,101,66,18,83,0,56,0,0,692,176,176,165,139,29,0,108,0,100,0,0,114
42101020200,2069,776,197,113,232,61,105,0,102,0,94,0,46,1293,573,428,247,84,185,135,39,0,46,0,17,186
42101020300,994,410,166,122,88,27,52,11,68,0,17,0,19,584,275,227,85,65,40,0,28,0,53,0,0,103
42101020400,1118,540,219,188,158,107,66,8,46,0,28,0,23,578,187,187,181,117,67,0,92,0,0,0,0,51
42101020500,1192,603,153,99,198,83,76,36,84,0,92,0,0,589,325,286,126,116,14,0,40,0,22,0,26,36
42101020600,801,206,5,5,7,7,4,4,24,4,166,20,0,595,168,168,139,124,33,18,87,0,70,0,98,0
42101020700,2364,1431,116,96,114,41,278,148,262,40,661,0,0,933,180,116,236,236,133,19,142,0,206,0,0,36
42101020800,1089,308,23,23,34,15,50,19,41,0,160,0,0,781,179,179,124,109,77,14,189,42,73,10,116,23
42101020900,1154,589,74,44,45,10,27,27,110,53,333,11,0,565,28,28,131,102,151,26,118,16,96,0,9,32
42101021000,2119,1362,179,179,142,91,162,36,145,36,721,0,13,757,72,59,156,156,72,23,148,0,209,0,10,90
42101021100,1051,601,37,37,26,11,88,30,135,23,308,0,7,450,139,139,21,21,50,10,100,20,140,0,0,0
42101021200,1038,683,57,49,67,32,38,5,157,59,364,8,0,355,43,43,79,51,23,6,102,0,52,0,17,39
42101021300,1320,855,50,42,101,54,94,49,205,66,382,40,23,465,70,70,83,83,22,0,124,24,146,0,0,20
42101021400,1467,636,69,39,75,55,29,15,111,21,344,5,8,831,80,80,97,97,172,154,150,43,264,8,41,27
42101021500,1569,913,92,59,105,75,110,85,217,67,389,23,0,656,86,75,13,13,55,44,223,89,261,46,0,18
42101021600,925,410,32,32,41,14,37,20,49,30,251,22,0,515,128,128,79,79,60,27,95,31,141,0,0,12
42101021700,2447,1912,234,207,193,137,317,139,270,148,867,94,31,535,16,16,48,48,80,67,267,73,93,0,0,31
42101021800,2062,566,70,28,124,107,73,15,103,82,196,14,0,1496,262,262,147,147,241,202,419,93,324,0,103,0
42101021900,718,534,28,28,29,16,31,3,80,2,361,12,5,184,41,41,11,11,19,13,22,4,87,0,0,4
42101022000,689,385,15,7,25,18,9,0,60,25,276,19,0,304,59,59,63,63,45,26,19,12,100,0,0,18
42101023100,529,284,7,7,11,0,19,0,28,24,219,32,0,245,0,0,12,12,8,8,62,0,131,0,0,32
42101023500,548,332,17,17,17,0,5,5,43,16,250,0,0,216,8,8,48,48,68,12,20,0,59,0,4,9
42101023600,1186,778,53,53,23,23,85,57,104,36,513,70,0,408,116,85,77,77,20,0,141,25,54,0,0,0
42101023700,2231,945,70,38,77,16,104,49,87,29,607,82,0,1286,291,147,277,241,74,31,276,0,205,0,42,121
42101023800,1870,751,127,115,122,72,43,16,102,59,357,0,0,1119,337,327,353,275,210,0,90,19,94,0,20,15
42101023900,924,135,9,9,47,36,14,5,12,0,53,16,0,789,306,202,285,158,124,61,29,0,5,0,21,19
42101024000,1555,467,112,101,20,20,27,14,99,8,209,0,0,1088,261,251,288,233,96,46,224,9,130,0,77,12
42101024100,639,79,13,13,15,15,21,5,9,0,21,0,0,560,314,207,104,25,43,11,18,0,37,0,19,25
42101024200,1554,658,144,144,117,34,56,26,135,30,206,12,0,896,432,335,185,176,111,0,88,31,23,0,36,21
42101024300,1638,630,88,74,122,71,41,11,152,21,227,0,0,1008,437,437,182,146,44,6,176,11,25,0,87,57
42101024400,1037,570,155,142,145,55,109,9,122,27,39,0,0,467,174,174,62,11,74,0,91,0,34,0,0,32
42101024500,1421,653,137,83,135,44,110,43,104,0,124,0,43,768,341,255,120,92,128,44,62,0,15,0,41,61
42101024600,1040,329,83,74,48,40,51,12,28,0,119,29,0,711,342,242,130,77,113,20,45,0,48,0,10,23
42101024700,1530,694,211,174,161,102,96,30,112,11,81,0,33,836,374,353,250,156,18,0,36,0,65,0,0,93
42101024800,735,521,103,97,87,43,148,48,101,19,71,0,11,214,90,90,22,11,51,0,30,15,1,0,5,15
42101024900,965,615,176,123,109,44,137,27,151,35,42,0,0,350,100,100,59,15,0,0,91,0,0,0,29,71
42101025200,2625,1219,169,132,237,152,197,46,222,24,289,0,105,1406,574,506,443,255,89,36,120,10,35,0,42,103
42101025300,1538,883,283,226,108,38,113,58,137,14,242,0,0,655,190,190,175,175,61,10,121,26,35,0,35,38
42101025400,1939,1229,117,95,83,49,206,97,257,42,550,69,16,710,284,251,137,111,142,94,92,40,33,0,13,9
42101025500,1121,834,160,160,85,43,49,10,185,88,338,42,17,287,65,65,63,51,12,12,69,11,74,51,0,4
42101025600,1139,747,65,65,28,28,27,7,132,76,495,41,0,392,68,68,71,71,84,64,97,47,72,0,0,0
42101025700,1789,429,17,17,40,21,20,20,60,41,292,24,0,1360,200,200,161,161,343,240,288,75,286,42,20,62
